#NAME,McM22_E41_T16_0-3cm_S1,McM22_E41_T16_3-6cm_S2,McM22_E41_T16_6-9cm,McM22_E42_T16_0-3cm_S4,McM22_E42_T16_3-6cm_S5,McM22_E42_T16_6-9cm_S6,McM22_E43_T16_0-3cm_S7,McM22_E43_T16_3-6cm_S8,McM22_E43_T16_6-9cm_S9,McM22_E44_T16_0-3cm_S10,McM22_E44_T16_3-6cm,McM22_E44_T16_6-9cm_S12,McM22_E4_T0_0-3cm_S13,McM22_E4_T0_3-6cm_S14,McM22_E4_T0_6-9cm_S15,McM22_E51_B,McM22_E52_B_S17,McM22_E53_B_S18,McM22_E1_A_S19,McM22_E1_B_S20,McM22_E31_T12_0-3_cm_S21,McM22_E32_T12_0-3_cm_S22,McM23_E12_T0_13CH4_S23,McM23_E12_T0_13CH4_O2_S24,McM23_E12_TF_CH4_S25,McM23_E12_TF_-CH4_S26,McM23_E12_TF_CH4_O2_S27,McM23_E12_TF_-CH4_O2_S28,McM23_E14_T0_13CH4_S29,McM23_E14_T0_13CH4_O2_S30,McM23_E14_TF_CH4_S31,McM23_E14_TF_-CH4_S32,McM23_E14_TF_CH4_O2_S33,McM23_E14_TF_-CH4_C6301_C6328O2_S34
d__Bacteria;p__SAR324_clade(Marine_group_B);c__SAR324_clade(Marine_group_B);o__SAR324_clade(Marine_group_B);f__SAR324_clade(Marine_group_B);g__SAR324_clade(Marine_group_B);s__,22,334,221,130,303,267,83,520,434,91,80,428,59,135,382,786,463,605,176,197,176,171,183,175,155,104,276,198,78,150,143,360,124,335
d__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__GIF9;f__GIF9;g__GIF9;s__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0
d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__SM1A02;s__,40,77,34,38,68,46,54,97,74,31,36,47,29,19,43,42,21,29,37,33,53,30,15,76,8,0,37,74,12,37,6,31,30,76
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__Roseimaritima;s__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,9,0,0,0,0,0,0,0
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__Rubripirellula;s__,91,117,76,91,152,77,123,231,153,86,67,118,52,43,149,97,63,59,301,248,136,132,43,244,39,14,351,272,55,159,32,108,110,175
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;__;__;__,0,0,0,13,0,0,10,9,3,0,5,0,0,0,0,0,0,4,0,0,0,4,0,5,3,3,0,15,0,0,0,0,0,2
d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;__;__,2771,6534,4224,3386,7194,5654,4388,9774,6112,2880,3518,4091,1730,2814,4403,6475,4129,3965,324,438,2260,2553,1853,658,1364,1437,1526,832,1867,1521,924,2054,980,1335
d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__WCHB1-41;f__WCHB1-41;g__WCHB1-41;s__,321,881,322,438,825,389,469,1272,887,395,324,499,230,388,674,348,281,232,392,697,676,778,1460,579,1079,1125,703,371,1159,479,685,1735,367,647
d__Bacteria;p__Myxococcota;c__Polyangia;o__UASB-TL25;f__UASB-TL25;g__UASB-TL25;s__,22,74,25,22,62,66,29,104,59,34,22,47,22,51,52,54,29,26,27,27,44,72,62,10,46,47,12,16,98,48,37,104,18,32
d__Bacteria;p__Myxococcota;c__Polyangia;o__Nannocystales;f__Nannocystaceae;g__Nannocystis;s__,0,0,0,0,0,0,4,0,0,4,0,0,3,0,7,0,0,0,18,7,38,21,3,35,0,0,26,29,0,11,0,0,0,12
d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Sandaracinaceae;__;__,7,14,0,10,5,8,11,9,8,22,10,0,17,0,10,11,0,8,19,25,49,52,0,77,0,3,65,69,0,6,0,0,32,55
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;__;__,1506,1584,650,1691,1854,961,1921,2895,1366,1497,870,887,773,631,703,468,324,339,311,508,1184,1060,161,1121,124,124,1427,1282,302,1056,168,427,781,1247
d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Sandaracinaceae;g__uncultured;s__,75,86,49,59,66,35,68,118,94,66,19,54,46,36,69,63,37,61,1154,1108,97,116,85,281,50,40,360,267,45,118,46,52,102,176
d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Sandaracinaceae;g__Sandaracinus;s__,5,0,0,17,10,0,0,17,5,0,0,5,0,0,9,0,5,4,31,29,0,10,8,26,0,0,19,17,0,0,0,0,0,8
